  -9.9971933952977032        7.2023170640222040E-003  (7.00231214167578364E-005,-5.32881912649169653E-005)
  -9.9852151198975729        1.6758927604988521E-002  (6.96856813749658163E-005,-5.39898933499388114E-005)
  -9.9636773279094424        2.6313648731818889E-002  (6.90553709092861767E-005,-5.52488541109401942E-005)
  -9.9325958618786778        3.5844393988013999E-002  (6.80889148195381726E-005,-5.70594938240022356E-005)
  -9.8919999087503321        4.5341050100940743E-002  (6.67159529445901820E-005,-5.94129203527242209E-005)
  -9.8419282163022022        5.4794346837822937E-002  (6.48286786954847648E-005,-6.22951093247738557E-005)
  -9.7824287028644310        6.4195182701777390E-002  (6.22663432424293419E-005,-6.56818524084967575E-005)
  -9.7135583455817063        7.3534536747912133E-002  (5.87933744841499795E-005,-6.95286937685649922E-005)
  -9.6353831083313430        8.2803456257228764E-002  (5.40703421473071250E-005,-7.37534752610774242E-005)
  -9.5479778727119129        9.1993059409222325E-002  (4.76179818627970149E-005,-7.82088023411637575E-005)
  -9.4514263640464851       0.10109454179511460       (3.87762904521420023E-005,-8.26417184936236842E-005)
  -9.3458210701894533       0.11009918408059791       (2.66636474838954777E-005,-8.66383378445212046E-005)
  -9.2312631524561422       0.11899836002711971       (1.01453956202018311E-005,-8.95524359623226380E-005)
  -9.1078623484739403       0.12778354460089750      (-1.21722470050585929E-005,-9.04194589024188890E-005)
  -8.9757368669287896       0.13644632206221599      (-4.18982914523164819E-005,-8.78616377616183960E-005)
  -8.8350132742536065       0.14497839398638990      (-8.07272188453091448E-005,-7.99965753436176894E-005)
  -8.6858263733413015       0.15337158719045710      (-1.30174322048772731E-004,-6.43715463087526820E-005)
  -8.5283190743851058       0.16161786154954991      (-1.91113851467505577E-004,-3.79594421933810127E-005)
  -8.3626422579628912       0.16970931769093461       (-2.63048391751564991E-004,2.73006668162575498E-006)
  -8.1889546304925744       0.17763820455611631       (-3.43040301981471373E-004,6.13499502359988124E-005)
  -8.0074225721948711       0.18539692682293421       (-4.24262988205606983E-004,1.41130969335384365E-004)
  -7.8182199777074306       0.19297805217917960       (-4.94200565911029062E-004,2.43903235192677575E-004)
  -7.6215280895024931       0.20037431844096160       (-5.32665072704967030E-004,3.68617315993939251E-004)
  -7.4175353242668454       0.20757864050845501       (-5.10040736737834600E-004,5.09293901998116353E-004)
  -7.2064370924101659       0.21458411715228620       (-3.86530650123821803E-004,6.52422780568999460E-004)
  -6.9884356108744408       0.22138403762398159       (-1.13676963938548936E-004,7.74006284845679855E-004)
  -6.7637397094235396       0.22797188808406579        (3.59995545983872532E-004,8.36725730838748212E-004)
  -6.5325646305984506       0.23434135784164559        (1.07684472149651854E-003,7.88117705803795796E-004)
  -6.2951318235297773       0.24048634539940000        (2.04895848938950855E-003,5.61170409356232772E-004)
  -6.0516687318048543       0.24640096429829100        (3.22616746439182258E-003,7.93296550265894999E-005)
  -5.8024085755927359       0.25207954875623823       (4.45372039420728616E-003,-7.31597619315829152E-004)
  -5.5475901282357327       0.25751665909550542       (5.42491519763493163E-003,-1.92198586901081727E-003)
  -5.2874574875213964       0.26270708695346517       (5.64196373817214217E-003,-3.48527153884582025E-003)
  -5.0222598418541944       0.26764586027173698       (4.40945530167978408E-003,-5.31285793086229505E-003)
  -4.7522512315507646       0.27232824805906702       (8.97065632436955620E-004,-7.14037248330497143E-003)
  -4.4776903054873536       0.27674976492331049      (-5.68331322551398049E-003,-8.49455891339302889E-003)
  -4.1988400733326694       0.28090617536800211      (-1.57448509588153027E-002,-8.65823224591460126E-003)
  -3.9159676536034209       0.28479349784969088      (-2.88245200064135357E-002,-6.67962962522206539E-003)
  -3.6293440177838172       0.28840800859195448      (-4.29631159328022968E-002,-1.45857747517837881E-003)
  -3.3392437307543199       0.29174624515250169       (-5.41139431725215017E-002,8.06091956981926441E-003)
  -3.0459446877781331       0.29480500973991691       (-5.58387833597051922E-002,2.25812330823885396E-002)
  -2.7497278482973990       0.29758137227698972       (-3.96243032413648791E-002,4.20550108075953416E-002)
  -2.4508769667941999       0.30007267320731079        (3.88317366333261558E-003,6.52912908825935417E-002)
  -2.1496783209740928       0.30227652604320759        (8.26371392819151701E-002,8.97113508801072046E-002)
  -1.8464204375325710       0.30419081965164579                  (0.20024929343217709,0.11142743979627429)
  -1.5413938157671589       0.30581372027653209                  (0.35312296754805733,0.12577334976697979)
  -1.2348906492998959       0.30714367329541309                  (0.52877385599201043,0.12828428841854378)
 -0.92720454617682957       0.30817940470864741                  (0.70640060962730156,0.11593115758059580)
 -0.61863024761248231       0.30891992235977178             (0.86019252389471557,8.82382233185167175E-002)
 -0.30946334564898198       0.30936451688597782             (0.96487282973258193,4.78538324074599050E-002)
  -1.8906549577641260E-015  0.30951276239756331              (1.0019621995727781,2.68846517038014122E-004)
  0.30946334564897998       0.30936451688597899            (0.96471521791921944,-4.73327491497181826E-002)
  0.61863024761248320       0.30891992235976679            (0.85997787299173545,-8.77687396346607390E-002)
  0.92720454617682135       0.30817940470864741                 (0.70628513502611301,-0.11555141069553089)
   1.2348906492998999       0.30714367329541081                 (0.52890083971395452,-0.12803187964865487)
   1.5413938157671569       0.30581372027652021                 (0.35356177748368744,-0.12567705244163915)
   1.8464204375325750       0.30419081965165662                 (0.20096737289084704,-0.11149786813008865)
   2.1496783209740959       0.30227652604321859       (8.35131686550222990E-002,-8.99351639921884827E-002)
   2.4508769667941941       0.30007267320730641       (4.75108232914083113E-003,-6.56319604930390155E-002)
   2.7497278482973928       0.29758137227697179      (-3.89216207928011829E-002,-4.24601827591301259E-002)
   3.0459446877781291       0.29480500973992402      (-5.54068797399533616E-002,-2.29939976587634001E-002)
   3.3392437307543221       0.29174624515250019      (-5.39874552195329857E-002,-8.43113821269012714E-003)
   3.6293440177838181       0.28840800859195892       (-4.31104881976184171E-002,1.16614604887842373E-003)
   3.9159676536034231       0.28479349784969282       (-2.91692717987847537E-002,6.48197447967024595E-003)
   4.1988400733326774       0.28090617536800322       (-1.61926982005401662E-002,8.55526814552408539E-003)
   4.4776903054873527       0.27674976492331288       (-6.14599475797179308E-003,8.47338428285683912E-003)
   4.7522512315507646       0.27232824805907191        (4.86408568861057512E-004,7.18076960669281061E-003)
   5.0222598418541926       0.26764586027173159        (4.09034314610274424E-003,5.39247803993249657E-003)
   5.2874574875213902       0.26270708695347039        (5.42820658469030017E-003,3.58355555486158158E-003)
   5.5475901282357336       0.25751665909551819        (5.31071420356403825E-003,2.02249725279590601E-003)
   5.8024085755927430       0.25207954875624322        (4.42127142597755884E-003,8.22903796388338243E-004)
   6.0516687318048543       0.24640096429827721       (3.25263575857543275E-003,-3.84869530159076556E-006)
   6.2951318235297720       0.24048634539939981       (2.11170363009915334E-003,-5.04149738090548818E-004)
   6.5325646305984506       0.23434135784163829       (1.15661313509102161E-003,-7.49293003734305125E-004)
   6.7637397094235361       0.22797188808406910       (4.42330603610594289E-004,-8.14007519521747834E-004)
   6.9884356108744434       0.22138403762397010      (-3.83167060618961347E-005,-7.64386839188327806E-004)
   7.2064370924101686       0.21458411715229730      (-3.23425321795681479E-004,-6.52652003145248586E-004)
   7.4175353242668427       0.20757864050844491      (-4.61204082700795374E-004,-5.16323328218709111E-004)
   7.6215280895024931       0.20037431844095541      (-4.97880860669253880E-004,-3.79846684561590446E-004)
   7.8182199777074288       0.19297805217917621      (-4.71927512848836230E-004,-2.57278122153617352E-004)
   8.0074225721948658       0.18539692682294071      (-4.12334127689112362E-004,-1.55140224280911126E-004)
