  -9.9971933952977032        7.2023170640222040E-003  (-1.24740040098364924E-004,5.30340064350062491E-005)  -1.2474004009836492E-004   5.3034006435006249E-005   1.3554587209609140E-004
  -9.9852151198975729        1.6758927604988521E-002  (-1.17771003353933824E-004,6.75211481611583971E-005)  -1.1777100335393382E-004   6.7521148161158397E-005   1.3575387537743958E-004
  -9.9636773279094424        2.6313648731818889E-002  (-1.01116729018585624E-004,9.11227734571365942E-005)  -1.0111672901858562E-004   9.1122773457136594E-005   1.3611742258042765E-004
  -9.9325958618786778        3.5844393988013999E-002  (-6.91270324696624473E-005,1.17794838477477802E-004)  -6.9127032469662447E-005   1.1779483847747780E-004   1.3658027159878125E-004
  -9.8919999087503321        4.5341050100940743E-002  (-1.78285104952879990E-005,1.35853503767279264E-004)  -1.7828510495287999E-005   1.3585350376727926E-004   1.3701835742821746E-004
  -9.8419282163022022        5.4794346837822937E-002   (4.89152751973572137E-005,1.28328378168269061E-004)   4.8915275197357214E-005   1.2832837816826906E-004   1.3733490740132847E-004
  -9.7824287028644310        6.4195182701777390E-002   (1.12393453657193537E-004,7.95746667266156833E-005)   1.1239345365719354E-004   7.9574666726615683E-005   1.3771135032975194E-004
  -9.7135583455817063        7.3534536747912133E-002  (1.38284236842776015E-004,-9.53937922472125248E-006)   1.3828423684277602E-004  -9.5393792247212525E-006   1.3861287788362962E-004
  -9.6353831083313430        8.2803456257228764E-002  (9.31598994640144804E-005,-1.04495437952128076E-004)   9.3159899464014480E-005  -1.0449543795212808E-004   1.3999308347540721E-004
  -9.5479778727119129        9.1993059409222325E-002 (-1.88545136950156251E-005,-1.39674247469291862E-004)  -1.8854513695015625E-005  -1.3967424746929186E-004   1.4094108021719045E-004
  -9.4514263640464851       0.10109454179511460      (-1.25760539088840776E-004,-6.52167688663800213E-005)  -1.2576053908884078E-004  -6.5216768866380021E-005   1.4166488673375164E-004
  -9.3458210701894533       0.11009918408059791       (-1.20785935211263930E-004,7.74276249306037414E-005)  -1.2078593521126393E-004   7.7427624930603741E-005   1.4347222465429989E-004
  -9.2312631524561422       0.11899836002711971        (1.87846865600949103E-005,1.43725764147684891E-004)   1.8784686560094910E-005   1.4372576414768489E-004   1.4494812771814942E-004
  -9.1078623484739403       0.12778354460089750        (1.42809731335962283E-004,3.11823004844132175E-005)   1.4280973133596228E-004   3.1182300484413217E-005   1.4617440004238076E-004
  -8.9757368669287896       0.13644632206221599       (6.83362611859698968E-005,-1.31991500186704911E-004)   6.8336261185969897E-005  -1.3199150018670491E-004   1.4863243493401439E-004
  -8.8350132742536065       0.14497839398638990      (-1.18964972851836654E-004,-9.13142527107261654E-005)  -1.1896497285183665E-004  -9.1314252710726165E-005   1.4996985535018894E-004
  -8.6858263733413015       0.15337158719045710       (-1.03627350656641882E-004,1.12318799735102622E-004)  -1.0362735065664188E-004   1.1231879973510262E-004   1.5282061568403887E-004
  -8.5283190743851058       0.16161786154954991        (1.12418647784523376E-004,1.06141795324388093E-004)   1.1241864778452338E-004   1.0614179532438809E-004   1.5460929171425957E-004
  -8.3626422579628912       0.16970931769093461       (9.97367351802283357E-005,-1.22466479314267370E-004)   9.9736735180228336E-005  -1.2246647931426737E-004   1.5794130207150655E-004
  -8.1889546304925744       0.17763820455611631      (-1.37981111821387618E-004,-8.12983226884261709E-005)  -1.3798111182138762E-004  -8.1298322688426171E-005   1.6015056818949393E-004
  -8.0074225721948711       0.18539692682293421       (-4.91658206457979335E-005,1.56495007495059923E-004)  -4.9165820645797934E-005   1.5649500749505992E-004   1.6403647548839139E-004
  -7.8182199777074306       0.19297805217917960       (1.67137286879902167E-004,-8.32608971312813412E-007)   1.6713728687990217E-004  -8.3260897131281341E-007   1.6713936072413891E-004
  -7.6215280895024931       0.20037431844096160      (-6.36595807674888368E-005,-1.58680454108611464E-004)  -6.3659580767488837E-005  -1.5868045410861146E-004   1.7097376623215500E-004
  -7.4175353242668454       0.20757864050845501       (-1.17700182990577797E-004,1.30647898275531958E-004)  -1.1770018299057780E-004   1.3064789827553196E-004   1.7584711086574397E-004
  -7.2064370924101659       0.21458411715228620        (1.76147786496644835E-004,3.69914021193271878E-005)   1.7614778649664484E-004   3.6991402119327188E-005   1.7999001782993782E-004
  -6.9884356108744408       0.22138403762398159      (-6.92920075747520100E-005,-1.71828662320128221E-004)  -6.9292007574752010E-005  -1.7182866232012822E-004   1.8527404434637935E-004
  -6.7637397094235396       0.22797188808406579       (-9.62114561300517023E-005,1.65948790034701793E-004)  -9.6211456130051702E-005   1.6594879003470179E-004   1.9182191012667558E-004
  -6.5325646305984506       0.23434135784164559       (1.94123951168174942E-004,-4.01597001559496087E-005)   1.9412395116817494E-004  -4.0159700155949609E-005   1.9823448220165872E-004
  -6.2951318235297773       0.24048634539940000      (-1.71789306332985255E-004,-1.12157647977027168E-004)  -1.7178930633298526E-004  -1.1215764797702717E-004   2.0516067793343584E-004
  -6.0516687318048543       0.24640096429829100        (5.69122159590959565E-005,2.06098952535207954E-004)   5.6912215959095956E-005   2.0609895253520795E-004   2.1381248457815713E-004
  -5.8024085755927359       0.25207954875623823       (8.56253414847173692E-005,-2.07107311208088184E-004)   8.5625341484717369E-005  -2.0710731120808818E-004   2.2410965499107430E-004
  -5.5475901282357327       0.25751665909550542       (-1.97549168284802504E-004,1.28264489399394955E-004)  -1.9754916828480250E-004   1.2826448939939496E-004   2.3553652186211955E-004
  -5.2874574875213964       0.26270708695346517       (2.48185361337927457E-004,-6.52499409397495764E-006)   2.4818536133792746E-004  -6.5249940939749576E-006   2.4827112021007203E-004
  -5.0222598418541944       0.26764586027173698      (-2.34141457719327847E-004,-1.20015138852444024E-004)  -2.3414145771932785E-004  -1.2001513885244402E-004   2.6310806862713887E-004
  -4.7522512315507646       0.27232824805906702        (1.68992286865950805E-004,2.24531834365157811E-004)   1.6899228686595080E-004   2.2453183436515781E-004   2.8102124059146575E-004
  -4.4776903054873536       0.27674976492331049      (-7.18379146650649985E-005,-2.94391536684679195E-004)  -7.1837914665064999E-005  -2.9439153668467919E-004   3.0302980522547941E-004
  -4.1988400733326694       0.28090617536800211       (-4.10116951711396853E-005,3.27135662008569048E-004)  -4.1011695171139685E-005   3.2713566200856905E-004   3.2969637622909235E-004
  -3.9159676536034209       0.28479349784969088       (1.55877134824199370E-004,-3.25380664314420644E-004)   1.5587713482419937E-004  -3.2538066431442064E-004   3.6079115547736938E-004
  -3.6293440177838172       0.28840800859195448       (-2.64474989113579727E-004,3.01000888003221734E-004)  -2.6447498911357973E-004   3.0100088800322173E-004   4.0068510634331812E-004
  -3.3392437307543199       0.29174624515250169       (3.84435777946023330E-004,-2.55315411089490456E-004)   3.8443577794602333E-004  -2.5531541108949046E-004   4.6149412401975352E-004
  -3.0459446877781331       0.29480500973991691       (-4.88216385458050599E-004,1.52796894822332597E-004)  -4.8821638545805060E-004   1.5279689482233260E-004   5.1156830442969272E-004
  -2.7497278482973990       0.29758137227698972       (4.82632980629967890E-004,-1.23029524740180484E-004)   4.8263298062996789E-004  -1.2302952474018048E-004   4.9806712193193562E-004
  -2.4508769667941999       0.30007267320731079       (-8.39763759273356091E-004,1.88418055556614929E-004)  -8.3976375927335609E-004   1.8841805555661493E-004   8.6064193196047265E-004
  -2.1496783209740928       0.30227652604320759        (1.36397253962901093E-003,8.72900532934006192E-004)   1.3639725396290109E-003   8.7290053293400619E-004   1.6193753206895818E-003
  -1.8464204375325710       0.30419081965164579       (1.66893509504599633E-003,-4.02411756441941129E-004)   1.6689350950459963E-003  -4.0241175644194113E-004   1.7167642742085697E-003
  -1.5413938157671589       0.30581372027653209       (1.59454169078159674E-003,-6.67805785763168208E-003)   1.5945416907815967E-003  -6.6780578576316821E-003   6.8657861861200487E-003
