  -9.9971933952977032        7.2023170640222040E-003  (6.98717149505956157E-005,-5.32025812736378824E-005)
  -9.9852151198975729        1.6758927604988521E-002  (6.95347478533735365E-005,-5.39028187516473313E-005)
  -9.9636773279094424        2.6313648731818889E-002  (6.89053346710033314E-005,-5.51591451180763131E-005)
  -9.9325958618786778        3.5844393988013999E-002  (6.79402864494675564E-005,-5.69659799877064840E-005)
  -9.8919999087503321        4.5341050100940743E-002  (6.65693832051527013E-005,-5.93144297967990435E-005)
  -9.8419282163022022        5.4794346837822937E-002  (6.46850332376387916E-005,-6.21904687689184976E-005)
  -9.7824287028644310        6.4195182701777390E-002  (6.21268090171557113E-005,-6.55698929353524309E-005)
  -9.7135583455817063        7.3534536747912133E-002  (5.86596117016153744E-005,-6.94082704400016885E-005)
  -9.6353831083313430        8.2803456257228764E-002  (5.39446977734802353E-005,-7.36235131433057838E-005)
  -9.5479778727119129        9.1993059409222325E-002  (4.75037809462823890E-005,-7.80683868195979985E-005)
  -9.4514263640464851       0.10109454179511460       (3.86782183594654221E-005,-8.24902536089506443E-005)
  -9.3458210701894533       0.11009918408059791       (2.65882270199094056E-005,-8.64758021155316841E-005)
  -9.2312631524561422       0.11899836002711971       (1.01015448050337318E-005,-8.93797696454630560E-005)
  -9.1078623484739403       0.12778354460089750      (-1.21726222088998982E-005,-9.02391180293585725E-005)
  -8.9757368669287896       0.13644632206221599      (-4.18397649694707334E-005,-8.76783457593320370E-005)
  -8.8350132742536065       0.14497839398638990      (-8.05905419627583078E-005,-7.98182884309123198E-005)
  -8.6858263733413015       0.15337158719045710      (-1.29936621614790197E-004,-6.42106184361518952E-005)
  -8.5283190743851058       0.16161786154954991      (-1.90749731519092872E-004,-3.78339216064791151E-005)
  -8.3626422579628912       0.16970931769093461       (-2.62532495793349409E-004,2.79516292597312737E-006)
  -8.1889546304925744       0.17763820455611631       (-3.42352048470326688E-004,6.13216642692386051E-005)
  -8.0074225721948711       0.18539692682293421       (-4.23394299902558901E-004,1.40968187908615666E-004)
  -7.8182199777074306       0.19297805217917960       (-4.93167387109754709E-004,2.43557909206040384E-004)
  -7.6215280895024931       0.20037431844096160       (-5.31523165672625683E-004,3.68038045372422401E-004)
  -7.4175353242668454       0.20757864050845501       (-5.08905465721777150E-004,5.08433065852814279E-004)
  -7.2064370924101659       0.21458411715228620       (-3.85598937244517527E-004,6.51248559576619412E-004)
  -6.9884356108744408       0.22138403762398159       (-1.13247059617957728E-004,7.72520880960484422E-004)
  -6.7637397094235396       0.22797188808406579        (3.59514586374202897E-004,8.34990647687444774E-004)
  -6.5325646305984506       0.23434135784164559        (1.07494683781896505E-003,7.86285850334457535E-004)
  -6.2951318235297773       0.24048634539940000        (2.04509600261668133E-003,5.59522690120617568E-004)
  -6.0516687318048543       0.24640096429829100        (3.21987044850534192E-003,7.83103425516398999E-005)
  -5.8024085755927359       0.25207954875623823       (4.44480212595230358E-003,-7.31357510199906816E-004)
  -5.5475901282357327       0.25751665909550542       (5.41377612180718795E-003,-1.91967453491570517E-003)
  -5.2874574875213964       0.26270708695346517       (5.62998094614780478E-003,-3.47995672578230858E-003)
  -5.0222598418541944       0.26764586027173698       (4.39939688757090726E-003,-5.30363383792652968E-003)
  -4.7522512315507646       0.27232824805906702       (8.93396629281038379E-004,-7.12662871147142288E-003)
  -4.4776903054873536       0.27674976492331049      (-5.67445758598578848E-003,-8.47640085733615545E-003)
  -4.1988400733326694       0.28090617536800211      (-1.57163342180391408E-002,-8.63705922047634279E-003)
  -3.9159676536034209       0.28479349784969088      (-2.87698576412867592E-002,-6.65882891327358988E-003)
  -3.6293440177838172       0.28840800859195448      (-4.28793657868411435E-002,-1.44421564929991916E-003)
  -3.3392437307543199       0.29174624515250169       (-5.40058055156006495E-002,8.05962414907270691E-003)
  -3.0459446877781331       0.29480500973991691       (-5.57233792438421374E-002,2.25519623812442532E-002)
  -2.7497278482973990       0.29758137227698972       (-3.95354392635687904E-002,4.19832597048351089E-002)
  -2.4508769667941999       0.30007267320731079        (3.89305334569569781E-003,6.51623818226399615E-002)
  -2.1496783209740928       0.30227652604320759        (8.24993234958371624E-002,8.95135266825318326E-002)
  -1.8464204375325710       0.30419081965164579                  (0.19988695658374703,0.11115559001972891)
  -1.5413938157671589       0.30581372027653209                  (0.35246507832306195,0.12543246563295229)
  -1.2348906492998959       0.30714367329541309                  (0.52777263721031253,0.12789144841149908)
 -0.92720454617682957       0.30817940470864741                  (0.70504821115622796,0.11551494298374672)
 -0.61863024761248231       0.30891992235977178             (0.85853151695508811,8.78350590775607426E-002)
 -0.30946334564898198       0.30936451688597782             (0.96299599782905210,4.75017258165674472E-002)
  -1.8906549577641260E-015  0.30951276239756331             (0.99999998731290940,2.35764147740643085E-012)
  0.30946334564897998       0.30936451688597899            (0.96281320424348926,-4.74983961907348290E-002)
  0.61863024761248320       0.30891992235976679            (0.85827015273171581,-8.78271470698840373E-002)
  0.92720454617682135       0.30817940470864741                 (0.70487097294011636,-0.11551424932321885)
   1.2348906492998999       0.30714367329541081                 (0.52783073217477505,-0.12792277346554398)
   1.5413938157671569       0.30581372027652021                 (0.35283569183331565,-0.12552560320817771)
   1.8464204375325750       0.30419081965165662                 (0.20054393154820996,-0.11133332405165103)
   2.1496783209740959       0.30227652604321859       (8.33255288630532220E-002,-8.97813956130757984E-002)
   2.4508769667941941       0.30007267320730641       (4.72420173290373589E-003,-6.55046964581257746E-002)
   2.7497278482973928       0.29758137227697179      (-3.88567656837940090E-002,-4.23666039821743723E-002)
   3.0459446877781291       0.29480500973992402      (-5.53045262794360920E-002,-2.29341276025167434E-002)
   3.3392437307543221       0.29174624515250019      (-5.38839817646894620E-002,-8.40016877744285614E-003)
   3.6293440177838181       0.28840800859195892       (-4.30257465451144086E-002,1.17540697302309237E-003)
   3.9159676536034231       0.28479349784969282       (-2.91104096519122606E-002,6.47709128385851301E-003)
   4.1988400733326774       0.28090617536800322       (-1.61586946959673960E-002,8.54284947015269795E-003)
   4.4776903054873527       0.27674976492331288       (-6.13168906143108077E-003,8.45843552002371879E-003)
   4.7522512315507646       0.27232824805907191        (4.87378936990307346E-004,7.16657623263922908E-003)
   5.0222598418541926       0.26764586027173159        (4.08377652484717864E-003,5.38082181616334528E-003)
   5.2874574875213902       0.26270708695347039        (5.41853541674208478E-003,3.57508372727294689E-003)
   5.5475901282357336       0.25751665909551819        (5.30085509468798417E-003,2.01711413023469973E-003)
   5.8024085755927430       0.25207954875624322        (4.41283299409866731E-003,8.20108195227465977E-004)
   6.0516687318048543       0.24640096429827721       (3.24626463137868198E-003,-4.71219591581047169E-006)
   6.2951318235297720       0.24048634539939981       (2.10743297373865764E-003,-5.03727893047722832E-004)
   6.5325646305984506       0.23434135784163829       (1.15414731947402049E-003,-7.48135291961951393E-004)
   6.7637397094235361       0.22797188808406910       (4.41246338283182076E-004,-8.12531787208791334E-004)
   6.9884356108744434       0.22138403762397010      (-3.84463636513120567E-005,-7.62879571350627236E-004)
   7.2064370924101686       0.21458411715229730      (-3.22966688890099097E-004,-6.51287210909326422E-004)
   7.4175353242668427       0.20757864050844491      (-4.60439110092270899E-004,-5.15188631305850777E-004)
   7.6215280895024931       0.20037431844095541      (-4.97007511041840187E-004,-3.78969447317706906E-004)
   7.8182199777074288       0.19297805217917621      (-4.71072168141985583E-004,-2.56647878421547453E-004)
   8.0074225721948658       0.18539692682294071      (-4.11568141164905842E-004,-1.54725970419274811E-004)
   8.1889546304925815       0.17763820455611809      (-3.38504136860920542E-004,-7.47268199421217294E-005)
   8.3626422579628841       0.16970931769092371      (-2.64529310194383635E-004,-1.52133189984208587E-005)
   8.5283190743851041       0.16161786154955679       (-1.96768802900087992E-004,2.67420700100361924E-005)
   8.6858263733413033       0.15337158719045499       (-1.38520425140245567E-004,5.45739997508212600E-005)
   8.8350132742536083       0.14497839398638229       (-9.06376721790762545E-005,7.16270823129025171E-005)
   8.9757368669287860       0.13644632206223031       (-5.25619544173757796E-005,8.08401707898143438E-005)
   9.1078623484739403       0.12778354460089650       (-2.30375786021036815E-005,8.46201504307938520E-005)
   9.2312631524561404       0.11899836002711760       (-5.71213221592705086E-007,8.48326700490193786E-005)
   9.3458210701894568       0.11009918408060571        (1.62982895377574498E-005,8.28569701685142446E-005)
   9.4514263640464851       0.10109454179511100        (2.88614262533039956E-005,7.96690222314026445E-005)
