  -1.9994386790595411        1.4404634128044409E-003             (0.62676465761151923,0.67723750741691635)  0.62676465761151923       0.67723750741691635       0.92275921966846952     
  -1.9970430239795149        3.3517855209977050E-003             (0.62760392359137895,0.67669224287522034)  0.62760392359137895       0.67669224287522034       0.92292961620851111     
  -1.9927354655818890        5.2627297463637779E-003             (0.62911129129632071,0.67570947060281317)  0.62911129129632071       0.67570947060281317       0.92323578001443274     
  -1.9865191723757349        7.1688787976027998E-003             (0.63128274428410958,0.67428590851164016)  0.63128274428410958       0.67428590851164016       0.92367710248129697     
  -1.9783999817500670        9.0682100201881465E-003             (0.63411202504346087,0.67241714684335219)  0.63411202504346087       0.67241714684335219       0.92425260598695258     
  -1.9683856432604410        1.0958869367564589E-002             (0.63759088561178079,0.67009752455094929)  0.63759088561178079       0.67009752455094929       0.92496098827168105     
  -1.9564857405728859        1.2839036540355481E-002             (0.64170909683074617,0.66732017456328407)  0.64170909683074617       0.66732017456328407       0.92580061586418483     
  -1.9427116691163411        1.4706907349582431E-002             (0.64645443543714132,0.66407709611576404)  0.64645443543714132       0.66407709611576404       0.92676951108778860     
  -1.9270766216662689        1.6560691251445749E-002             (0.65181266673654725,0.66035924299694337)  0.65181266673654725       0.66035924299694337       0.92786533631217483     
  -1.9095955745423829        1.8398611881844461E-002             (0.65776752658450077,0.65615662567843036)  0.65776752658450077       0.65615662567843036       0.92908537629799970     
  -1.8902852728092969        2.0218908359022920E-002             (0.66430070454866086,0.65145842650252073)  0.66430070454866086       0.65145842650252073       0.93042651914323005     
  -1.8691642140378910        2.2019836816119590E-002             (0.67139182984226353,0.64625312726734041)  0.67139182984226353       0.64625312726734041       0.93188523632567555     
  -1.8462526304912290        2.3799672005423930E-002             (0.67901846162177759,0.64052864850604885)  0.67901846162177759       0.64052864850604885       0.93345756238845201     
  -1.8215724696947879        2.5556708920179489E-002             (0.68715608528797290,0.63427249965516486)  0.68715608528797290       0.63427249965516486       0.93513907487982928     
  -1.7951473733857579        2.7289264412443209E-002             (0.69577811647525234,0.62747193918091004)  0.69577811647525234       0.62747193918091004       0.93692487523029377     
  -1.7670026548507209        2.8995678797277970E-002             (0.70485591443012907,0.62011414359330119)  0.70485591443012907       0.62011414359330119       0.93880957131443155     
  -1.7371652746682600        3.0674317438091431E-002             (0.71435880646738448,0.61218638413003867)  0.71435880646738448       0.61218638413003867       0.94078726250503486     
  -1.7056638148770209        3.2323572309909988E-002             (0.72425412514416987,0.60367620973994152)  0.72425412514416987       0.60367620973994152       0.94285152807551242     
  -1.6725284515925780        3.3941863538186921E-002             (0.73450725970347464,0.59457163484287279)  0.73450725970347464       0.59457163484287279       0.94499541983907731     
  -1.6377909260985151        3.5527640911223270E-002             (0.74508172320903687,0.58486133019335584)  0.74508172320903687       0.58486133019335584       0.94721145992628775     
  -1.6014845144389740        3.7079385364586839E-002             (0.75593923662391826,0.57453481503354442)  0.75593923662391826       0.57453481503354442       0.94949164459366431     
  -1.5636439955414860        3.8595610435835932E-002             (0.76703983087164029,0.56358264859211160)  0.76703983087164029       0.56358264859211160       0.95182745491905940     
  -1.5243056179004990        4.0074863688192318E-002             (0.77834196766382457,0.55199661887485874)  0.77834196766382457       0.55199661887485874       0.95420987517216049     
  -1.4835070648533690        4.1515728101690998E-002             (0.78980267958716666,0.53976992660505052)  0.78980267958716666       0.53976992660505052       0.95662941955089920     
  -1.4412874184820330        4.2916823430457239E-002             (0.80137772961368281,0.52689736211235638)  0.80137772961368281       0.52689736211235638       0.95907616784160610     
  -1.3976871221748881        4.4276807524796312E-002             (0.81302178984129969,0.51337547294345043)  0.81302178984129969       0.51337547294345043       0.96153981039614889     
  -1.3527479418847079        4.5594377616813148E-002             (0.82468863889142285,0.49920271997929050)  0.82468863889142285       0.49920271997929050       0.96400970262301278     
  -1.3065129261196899        4.6868271568329109E-002             (0.83633137699326210,0.48437961989787337)  0.83633137699326210       0.48437961989787337       0.96647492896394072     
  -1.2590263647059550        4.8097269079880003E-002             (0.84790265738460302,0.46890887191881708)  0.84790265738460302       0.46890887191881708       0.96892437608104853     
  -1.2103337463609709        4.9280192859658199E-002             (0.85935493226034643,0.45279546690966921)  0.85935493226034643       0.45279546690966921       0.97134681471353468     
  -1.1604817151185469        5.0415909751247628E-002             (0.87064071111913099,0.43604677712307155)  0.87064071111913099       0.43604677712307155       0.97373098938949443     
  -1.1095180256471471        5.1503331819101078E-002             (0.88171282900522496,0.41867262506708142)  0.88171282900522496       0.41867262506708142       0.97606571490497407     
