   0.0000000000000000        4.0365163265229843E-321               (1.0000000000000000,0.0000000000000000)
   1.4033023511483831E-003   3.6011585320111020E-003        (0.99999943418854009,2.37125497523924880E-018)
   7.3924400512135344E-003   8.3794638024942622E-003       (0.99998430656193815,-5.37027577738461119E-018)
   1.8161336045278809E-002   1.3156824365909439E-002        (0.99990537181822547,1.94319401123323642E-018)
   3.3702069060661088E-002   1.7922196994007000E-002       (0.99967460329945956,-9.53680448844479636E-019)
   5.4000045624833959E-002   2.2670525050470371E-002       (0.99916625630136158,-1.00219099028504209E-017)
   7.9035891848898920E-002   2.7397173418911468E-002        (0.99821853951390982,7.25225224898283486E-018)
  0.10878564856778450        3.2097591350888688E-002        (0.99663600062101088,1.85785481954274593E-017)
  0.14322082720914689        3.6767268373956073E-002       (0.99419276509164956,-9.78959002606622396E-018)
  0.18230844583432851        4.1401728128614382E-002        (0.99063677382913051,3.39434273828965342E-017)
  0.22601106364404361        4.5996529704611162E-002       (0.98569515573825128,-1.43292588001160939E-017)
  0.27428681797675752        5.0547270897557298E-002       (0.97908084244300053,-7.24391916858402981E-017)
  0.32708946490527341        5.5049592040298967E-002        (0.97050048238449804,1.16106788346561534E-016)
  0.38436842377192892        5.9499180013559833E-002        (0.95966363974809554,1.90731302727451409E-016)
  0.44606882576302992        6.3891772300448735E-002        (0.94629317137639535,7.95487187698631501E-017)
  0.51213156653560521        6.8223161031108009E-002       (0.93013656562210079,-5.12142131478431906E-017)
  0.58249336287319675        7.2489196993194935E-002        (0.91097790720268668,2.19589249393625268E-017)
  0.65708681332934926        7.6685793595228563E-002        (0.88865001039035862,1.19817977021621619E-016)
  0.73584046280744708        8.0808930774774967E-002        (0.86304615042635735,1.95412037089608901E-017)
  0.81867887101855441        8.4854658845467307E-002       (0.83413073252340486,-1.50757710456906759E-016)
  0.90552268475371278        8.8819102278058171E-002        (0.80194818224710063,1.89167943746263512E-016)
  0.99628871390256446        9.2698463411467091E-002        (0.76662933251460252,1.07803174138514419E-016)
   1.0908900111462849        9.6489026089589813E-002        (0.72839463056304643,3.22578173476464938E-016)
   1.1892359552487530       0.10018715922048080             (0.68755359886284206,2.78027277188773567E-016)
   1.2912323378665771       0.10378932025422750             (0.64450015793786697,4.02108184171194651E-016)
   1.3967814537949170       0.10729205857614310             (0.59970365137516546,5.26957544765989538E-017)
   1.5057821945627801       0.11069201881199080            (0.55369569245523331,-1.29542943945831188E-016)
   1.6181301452882300       0.11398594404203290             (0.50705325962250636,2.61334473639283798E-016)
   1.7337176847007749       0.11717067892082279             (0.46037877989650394,1.14906030121013706E-016)
   1.8524340882351109       0.12024317269970000             (0.41427822553331078,3.71801392987193289E-016)
