  -4.9985966976488516        3.6011585320111020E-003  (1.06457088644247300E-002,-9.59232608568298499E-003)
  -4.9926075599487856        8.3794638024942622E-003  (1.06027213268969391E-002,-9.70722987614014605E-003)
  -4.9818386639547212        1.3156824365909439E-002  (1.05214616670726898E-002,-9.91464379624461788E-003)
  -4.9662979309393389        1.7922196994007000E-002  (1.03950769512260663E-002,-1.02157239307577984E-002)
  -4.9459999543751660        2.2670525050470371E-002  (1.02134375233983617E-002,-1.06119019978068579E-002)
  -4.9209641081511011        2.7397173418911468E-002  (9.96285598348119715E-003,-1.11047148941623239E-002)
  -4.8912143514322164        3.2097591350888688E-002  (9.62574980799033725E-003,-1.16955187331311602E-002)
  -4.8567791727908531        3.6767268373956073E-002  (9.18025154167629621E-003,-1.23851017575449703E-002)
  -4.8176915541656724        4.1401728128614382E-002  (8.59978810211356644E-003,-1.31731796480863417E-002)
  -4.7739889363559556        4.5996529704611162E-002  (7.85266176986686680E-003,-1.40577519222644508E-002)
  -4.7257131820232434        5.0547270897557298E-002  (6.90167923564355325E-003,-1.50342957653761822E-002)
  -4.6729105350947266        5.5049592040298967E-002  (5.70389266769057070E-003,-1.60947727710434689E-002)
  -4.6156315762280711        5.9499180013559833E-002  (4.21053865689682578E-003,-1.72264252213728160E-002)
  -4.5539311742369701        6.3891772300448735E-002  (2.36728727501550216E-003,-1.84103425687478992E-002)
  -4.4878684334643948        6.8223161031108009E-002  (1.14943984278306565E-004,-1.96197867842330814E-002)
  -4.4175066371268032        7.2489196993194935E-002 (-2.60921921619713384E-003,-2.08182785642269212E-002)
  -4.3429131866706507        7.6685793595228563E-002 (-5.86929230407076240E-003,-2.19574665680119969E-002)
  -4.2641595371925529        8.0808930774774967E-002 (-9.72747196943776933E-003,-2.29748305022080025E-002)
  -4.1813211289814456        8.4854658845467307E-002 (-1.42394545046459556E-002,-2.37913074976505365E-002)
  -4.0944773152462872        8.8819102278058171E-002 (-1.94481992043053671E-002,-2.43089810653920498E-002)
  -4.0037112860974364        9.2698463411467091E-002 (-2.53758001073321332E-002,-2.44090333080819316E-002)
  -3.9091099888537149        9.6489026089589813E-002 (-3.20132565384983539E-002,-2.39502331727734739E-002)
  -3.8107640447512470       0.10018715922048080      (-3.93080369657922979E-002,-2.27683133306032480E-002)
  -3.7087676621334231       0.10378932025422750      (-4.71495009364503379E-002,-2.06766700089866216E-002)
  -3.6032185462050830       0.10729205857614310      (-5.53524939301236127E-002,-1.74688941998259392E-002)
  -3.4942178054372199       0.11069201881199080      (-6.36397687087126435E-002,-1.29236952323787922E-002)
  -3.3818698547117698       0.11398594404203290      (-7.16243144447566565E-002,-6.81278995315415595E-003)
  -3.2662823152992249       0.11717067892082279       (-7.87931772041614020E-002,1.08772017648198259E-003)
  -3.1475659117648891       0.12024317269970000       (-8.44948984014624177E-002,1.09821016025740611E-002)
  -3.0258343659024272       0.12320048214914550       (-8.79332223556427983E-002,2.30357420812775625E-002)
  -2.9012042877963680       0.12603977437811911       (-8.81701431392951512E-002,3.73521631186312583E-002)
  -2.7737950641178659       0.12875832954775271       (-8.41415612764291193E-002,5.39470761230304019E-002)
  -2.6437287437606982       0.13135354347673259       (-7.46886709456284353E-002,7.27209183143584653E-002)
  -2.5111299209270972       0.13382293013586849       (-5.86075651898372435E-002,9.34320362584440817E-002)
  -2.3761256157753818       0.13616412402953351            (-3.47183212801529667E-002,0.11567341680279898)
